pmid,max_grade,all_topic_grades
23964934,8,26:8
20406929,8,7:8
27291995,8,32:8
26908455,8,26:8
26330533,8,"18:8,33:1"
24941979,8,35:8
23736025,8,18:8
30233266,8,2:8
23453860,8,29:8
29147869,8,"11:8,12:8"
21183737,8,8:8
21059813,8,26:8
23619942,8,"7:8,10:2"
26240132,8,18:8
26658964,8,"13:2,14:8"
29935901,8,"11:2,12:1,13:2,14:8"
20407031,8,26:8
26051236,8,"15:8,17:4"
30464492,8,8:8
29061771,8,30:8
26303211,8,"11:2,12:1,13:2,14:8"
29344106,8,14:8
27309887,8,4:8
18385198,8,"18:8,33:4"
25355819,8,22:8
30426062,8,8:8
28382134,8,20:8
30240852,8,16:8
25278454,8,35:8
26194211,8,27:8
28351928,8,14:8
30465154,8,"12:4,14:8"
30360668,8,"11:4,12:1,13:2,14:8"
28715249,8,22:8
23684373,8,33:8
28580882,8,"11:2,12:4,13:8"
28418267,8,22:8
27087632,8,8:8
21836817,8,23:8
29527939,8,"11:8,12:4,14:8"
24259629,8,1:8
28710508,8,1:8
23177515,8,1:8
27721264,8,27:8
28587477,8,"4:8,37:1"
25917267,8,36:8
22788971,8,10:8
21952069,8,"18:8,33:4"
28277830,8,"4:8,37:1"
24037486,8,26:8
28754483,8,"7:8,10:8"
25070487,8,25:8
21704235,8,26:8
29156659,8,4:8
24070900,8,26:8
29174481,8,"1:8,30:8"
22025146,8,23:8
25912635,8,"34:4,36:8"
30478914,8,"11:2,14:8"
26544731,8,20:8
28056412,8,2:8
29045554,8,9:8
25795635,8,17:8
23321547,8,26:8
25796376,8,4:8
25704957,8,17:8
23766359,8,23:8
28284558,8,4:8
24659631,8,22:8
28462807,8,17:8
30190299,8,"1:4,30:8"
28223274,8,10:8
21472713,8,9:8
27824811,8,10:8
29668860,8,2:8
23414591,8,4:8
27141070,8,"7:8,8:2"
28588062,8,8:8
24150533,8,1:8
29606854,8,8:8
26646759,8,17:8
29725889,8,"11:4,12:1,13:1,14:8"
24787964,8,17:8
28152546,8,4:8
30074259,8,40:8
30186027,8,"7:1,8:8"
23940282,8,22:8
28388401,8,8:8
25481791,8,"9:8,10:4"
28741274,8,"11:8,12:1,13:8,14:8"
28758424,8,"13:2,14:8"
20609467,8,7:8
29873072,8,22:8
19726763,8,35:8
28851243,8,"4:8,37:1"
25326159,8,"1:8,30:8"
26051946,8,"7:8,10:2"
29498296,8,3:8
30425037,8,8:8
23782157,8,22:8
27384874,8,20:8
30079740,8,"11:4,12:1,13:8,14:8"
28916367,8,8:8
28838206,8,14:8
28260092,8,20:8
26937492,8,7:8
30333088,8,"8:4,10:8"
28222073,8,"8:8,9:8"
26588193,8,22:8
22890726,8,20:8
24591666,8,15:8
29933034,8,"11:2,12:1,13:2,14:8"
30026002,8,10:8
27325864,8,1:8
27149444,8,4:8
28706010,8,"11:2,12:1,14:8"
27617661,8,"7:8,10:8"
26193343,8,22:8
29236235,8,"11:2,12:1,13:8,14:8"
28936569,8,1:8
25794603,8,28:8
30219628,8,"4:4,37:8"
28645776,8,3:8
26995305,8,"11:4,14:8"
26933807,8,17:8
23608443,4,4:4
22421192,4,1:4
23810467,4,7:4
24864047,4,4:4
25056491,4,26:4
28919996,4,"4:4,37:1"
30376465,4,4:4
22968692,4,2:4
28561688,4,3:4
28533223,4,"11:4,12:2,13:4"
29404806,4,14:4
30018031,4,4:4
26925841,4,"4:1,37:4"
30118796,4,"4:4,28:1"
18415014,4,13:4
23850468,4,9:4
30058839,4,27:4
27040704,4,36:4
28017967,4,36:4
23816967,4,15:4
27480665,4,32:4
29058175,4,14:4
25033383,4,35:4
29274272,4,35:4
12712470,4,9:4
27022037,4,"7:4,8:2,10:4"
29719366,4,32:4
25725131,4,7:4
29767411,4,"4:1,37:4"
23721300,4,26:4
27491402,4,16:4
30144837,4,2:4
26094656,4,15:4
30468696,4,4:4
28515242,4,14:4
25081321,4,22:4
30086074,4,4:4
30030733,4,2:4
10785486,4,9:4
27780365,4,1:4
29587661,4,9:4
19528803,4,"18:1,33:4"
30281669,4,4:4
28395543,4,14:4
27670892,4,30:4
26781820,4,18:4
22825000,4,2:4
26823294,4,15:4
23329081,4,35:4
23553850,4,35:4
29541174,4,9:4
23063578,4,18:4
24012472,4,33:4
24019183,4,"18:4,33:1"
29465308,4,36:4
